gdik99		79	A Kanek xuchäp jun kuk.						Kanek agarró una ardilla.
mdik99		79	Jun kuk xchäp ruma a Kanek.					Una ardilla fue agarrada por Kanek.
gdik99		79	A Xwan xuqʼetej xta Kanteʼl.					Juan abrazó a Candelaria.
gdik99		79	Ixta Kanteʼl xqʼetex ruma a Xwan.				Candelaria fue abrazada por Juan.
gdik99		80	Ri achi xukʼaxaj ri qachʼabäl.					El señor escuchó nuestra palabra.
gdik99		80	Ri qachʼabäl xkʼaxäx ruma ri achin.				Nuestra palabra fue escuchada por el señor.
gdik99		80	Ri achin xkʼaxan ri qachʼabäl.					El señor escuchó nuestra palabra.
gdik99		128	Ixta Saqijix xuqʼetej ma Saq Bʼalam.				Saqijix abrazó a don Saq Bʼalam.
gdik99		128	Ma Saqteqaw xutzʼät xta Mariʼy.					Saqteqaw vio a María.
gdik99		128	Xta Mariʼy xtzʼat ruma ma Saqteqaw.				María fue vista por Saqteqaw.
gdik99		129	Ri kuk xuroch xta Mariʼy.					La ardilla arañó a María.
gdik99		129	Man jaʼ ta ri kuk xrocho xta Mariʼy.				No fue la ardilla la que arañó a María.
gdik99		130	A Palaʼs xuqʼetej xta Kataʼl.					Francisco abrazó a Catarina.
gdik99		130	Man jaʼ ta a Palaʼs xqʼeten xta Kataʼl.				No fue Francisco quien abrazó a Catarina.
gdik99		130	¿Achike xqʼeten xta Kataʼl?					¿Quién abrazó a Catarina?
gdik99		130	A Xwan xukʼayij xajabʼ pa kʼaybʼäl.				Juan vendió zapatos en el mercado.
gdik99		130	A Xwan xkʼayin pa kʼaybʼäl.					Juan vendió en el mercado.
gdik99		131	Nutataʼ xpaʼeʼ pa riʼ jun ikej.					Mi papá se paró sobre un hacha.
gdik99		131	Nutataʼ xupalibʼej jun ikej.					Sobre un hacha se paró mi papá.
gdik99		132	A Xwan xuqʼetej xta Mariʼy.					Juan abrazó a María.
gdik99		132	Xta Mariʼy xqʼetex ruma a Xwan.					María fue abrazada por Juan.
gdik99		132	Pa juyuʼ xnutäq wi nukʼajol.					Al monte mandé a mi hijo.
gdik99		133	Xnutäq pa juyuʼ nukʼajol.					Mandé a mi hijo al monte.
gdik99		133	A Xwan xuchäp jun äkʼ.						Juan agarró una gallina.
gdik99		133	¿Achike xchapo ri äkʼ.						¿Quién agarró la gallina?
gdik99		133	Ri tzʼiʼ xupurij jun syan.					El perro mordió a un gato.
